word1,word2,word3,word4,word5,solution
prendere,sera,taglio,cerimonia,sposa,abito
remoto,diritto,riservato,punto,negato,accesso
parola,stato,sotto,capo,gratuita,accusa
dolce,sotto,pubblica,buco,muro,acqua
famiglia,chiudere,poco,vero,dreyfus,affare
espressione,bisogno,profondo,influenza,stima,affetto
chimico,polizia,segreto,cambio,commercio,agente
bianco,polvere,corona,camicia,testa,aglio
freccia,partito,palazzo,sotto,tornante,ala
natale,motore,azzurro,maestro,caduto,albero
maestra,conoscenza,trasmissione,sotto,frutto,albero
lettere,greco,muto,cirillico,morse,alfabeto
squadra,spiegare,libertà,apertura,folla,ali
scuola,moda,tensione,acqua,velocita',alta
tutela,naturale,diffusore,danno,attenzione,ambiente
primo,vero,clandestino,scienza,lontano,amore
matematica,sangue,istituto,numerica,logica,analisi
costoso,cipolla,rotondo,oro,fidanzamento,anello
dietro,calcio,piatto,cottura,concavo,angolo
perdere,arco,mille,personaggio,grazia,anno
totale,camera,fase,chiedere,sorriso,approvazione
trionfo,tiro,sopracciglio,tempo,giovanna,arco
gioco,trovare,fuori,dollaro,quadrato,area
nastro,capelli,nozze,piatto,vivo,argento
compagno,piazza,onore,sotto,passare,armi
regola,arrangiarsi,storia,povera,opera,arte
lana,parte,storia,commedia,nome,arte
oro,bellezza,testa,orecchie,pezzo,asino
manica,piantare,fiori,aviazione,oro,asso
libertà,categoria,sportiva,parole,quota,associazione
mettere,salto,vendere,alzare,battere,asta
hacker,panico,stato,pallavolo,armato,attacco
aperto,chiudere,proprio,radio,ramo,attività
verbo,carbone,vulcano,principio,saldo,attivo
coraggio,prendere,teatrale,legislativo,citazione,atto
mettere,dramma,ufficio,amore,convegno,atto
esercizio,palestra,mestiere,cucina,borsa,attrezzi
diritti,cinema,libro,colpa,delitto,autore
atto,avere,civili,legge,tribuna,autorità
portare,anni,altro,mani,ora,avanti
film,partire,spirito,battisti,galante,avventura
francese,addio,giuda,fronte,bocca,bacio
dare,primo,ultimo,apostrofo,giuda,bacio
tirare,corpo,scarpe,liscio,maschera,ballo
essere,coppia,sala,liscio,salsa,ballo
armata,larghezza,musicale,magliana,elastica,banda
porta,cambiare,blu,gol,gialla,bandiera
facile,valido,mancare,mobile,centro,bersaglio
uomo,mano,mangiare,capello,uovo,bianco
carta,atomica,navale,mano,idrogeno,bomba
carattere,atto,loro,divina,animo,bontà
piscina,nave,pizza,strada,pista,bordo
ghiaccio,spesa,donna,viaggio,pelle,borsa
giocare,viaggio,new york,sera,dopo,borsa
prendere,risposta,fortuna,vita,tenere,botta
collo,vino,vetro,litro,massaggio,bottiglia
attaccare,premere,accensione,pressione,camicia,bottone
fare,gatti,apertura,angolo,totale,buio
