word1,word2,word3,word4,word5,solution
vespa,HM,madonna,olanda,uva,regina
fucile,torace,bel,alto,benzina,fusto
anello,cavaliere,giro,diritto,salute,maglia
baseball,posta,lama,giorno,stile,piatto
formula 1,slot machine,pressione,sbarra,mario,bar
1795-1805,vapore,elle,maniglie,senatore,cavallo
scemotto,ride,passione,selvaggio,dea,venerdì
francese,portare,tifo,linea,mistero,fede
Napoleone,secoli,sordi,dito,cipro,polvere
insalata,primo,francese,galline,ulisse,letto
Nicola,Roma,farina,pranzo,poltrona,sacco
bello,inter,vino,indosso,fronte,porto
spedito,gigante,uomo,carica,vita,passo
senza,camera,ragazza,quattro,roulette,pari
fusto,infame,auto,quotidiano,termometro,colonna
secondo,barba,codice,concerto,Mimì,onore
quaranta,Scalfaro,perdonare,porta,Donna Rosa,sette
leonardo,andare,desideri,colpo,navale,genio
tavola,pazienza,pesce,rosa,nuvola,fumetto
fiori,mostra,piazza,nuovo,uscire,mercato
denti,tesoro,norvegia,stella,orologio,corona
scrittore,opera,città,acchiappa,formaggino,fantasma
ago,mettere,mare,rivoluzione,proprio,moto
polo,vino,gesto,neon,piano,nobile
muro,vento,dalai lama,scacchi,musica,maestro
libro,principe,testa,azione,cronoca,titolo
fiume,alice,carne,vita,figuraccia,magra
bambini,acqua,reno,libia,carcere,colonia
sotto,pane,cambio,massaggio,puglia,olio
una lira,braccio,pesca,romana,cucina,bilancia
venere,pelo,scorpione,sciare,corrente,acqua
cercare,favole,giallo,radio,Modugno,telefono
polizia,asia,aggressiva,protesta,siena,pantera
Bianco,Filo,Racconti,Pirati,Argento,Terrore
Muscolo,Cerotto,Pesi,Lattina,Regola,Strappo
pinocchio,kennedy,re mida,shreck,apuleio,asino
colpo,sotto,craxi,puglia,basso,tacco
D-day,bianca,inizio,macellaio,dolcetto,alba
sapere,orecchio,gabbietta,benzina,corona,tappo
Pietro,Robinson,pesce,pipi`,imparare,pappagallo
parmigiano,gonna,convento,seguire,tortura,ruota
cervello,crociera,cielo,buona,alessandro,volta
rivista,colle,pazza,bella,inno,gioia
marzo,bacchette,ombra,bombetta,gesto,ombrello
Atene,cuore,normale,polizia,bus,scuola
intelligente,becco,Re di Francia,flipper,farfalla,delfino
fiore,piede,amaro,rene,fuoco,calice
comune,arte,passaporto,fatto,destino,nome
sfera,verde,divino,largo,uva,raggio
scrittura,quota,mosca,gola,umano,capitale
animale,cavallo,paradiso,inter,1861-1946,regno
Ambra,Soldi,Donna,Scandalo,Gocce,Profumo
Frutta,Carattere,Pagare,Scherzo,Lucrezio,Natura
Va,Coperta,Fantasma,Cammello,Scuola,Nave
Nove,Donna,Egitto,Pesce,Romeo,Gatto
Cucina cinese,Ape,Camino,Due anni,Uova,Nido
Palatino,Tempio,Monaca,Cipolla,Stendere,Velo
chiara,pane,metro,tigre,televisione,neve
candela,letto,fuori,cretini,ordinare,fuori
Leggere,Re,Camera,Orecchie,Carta,Musica
Dalmata,Ristorante,Mozzarella,Berlina,Zucca,Carrozza
Vergine,Formaggio,Vino,Cella,Luna,Miele
Notte,Giudizio,Linea,Leone,Pizza,Metro
Miraggio,Cono,Mani,Madrina,Bella,Fata
pasta,pugile,pellegrino,collezione,ostrica,conchiglia
Giulia,Comune,Mare,Testata,Brava,Gente
Pasta,Pugile,Pellegrino,Collezione,Ostrica,Conchiglia
Cammello,Corso,Colosseo,Scudo,Giunone,Moneta
Mani,Dente,Norma,Uomo,Uovo,Pasta
Lingua,Striscia,Vite,Pomodoro,Contro,Filetto
Argento,Repubblica,Politica,Canino,Domenica,Ulivo
Vuoto,Rabbia,Telefono,Stipendio,Serratura,Scattto
Napoli,50,Rosso,Bocca,Età,Oro
Filtro ,Decadenza ,1999,Cono,Luna,Eclissi
Firenze,Ferro,Carta,Tagliatelle,Nespole,Paglia
Tenore,Professore,Organo,Cambiare,Ufficio,Registro
giorno,gioco,macchina,giuramento,dico,verità
Padre,San Bernardo,Grande,Trieste,Minuto,Piccolo
Stella,Città,Poltrona,Scope,Prima,Cimema
Pane,Secondo,Staffetta,Sbarra,Comune,Frazione
Perugia,Mao,Banda,Prima,Acqua,Marcia
Chiudi,Rilievo,Pomodoro,Vetro,Manico,Serra
Fuggi,Trama,Libro,Olio,Teatro,Tela
Vero,Mondo,Rana,Memoria,Affari,Uomo
Tutti,Cardinale,Pericolo,Mille,Mattina,Uno
Totò,Sinistro,Volpe,Nave,Imperiale,Corvo
mai,chiuso,pericolo,metti,umano,caso
Duro,Avere,Martello,Medio,G,Orecchio
Spazio,Affare,Idiota,Numero,Tornare,Utile
Uno,Notte,La Trippa,Auto,Palazzo,Portiere
Teatro,Neve,Palla,Lettere,Video,Buca
Politica,Inverno,Massimo,Termini,Tiro,Rigore
Roccia,Asino,Liguria,Menù,Classe,Lavagna
Piedi,Macchine,Avaro,Marino,Metro,Parco
Molla,Tutto,Barca,Locale,Cavalli,Motore
Pianta,Fantasma,Alta,Topo,Castello,Città
albero,olio,contatto,ancona,radio,gomito
Latte,Barba,Salvare,Fiocco di neve,Ignorante,Capra
Spade,Volante,Batman,Manica,Piantare,Asso
Seconda,Aceto,Lingua,Regina,Scena,Madre
Stagno,Mano,Cane,Leva,Capelli,Ferma
Occhi,Muratore,Legno,Grassa,Elezioni,Matita
Testa,Muro,Maiale,Pelle,Stringere,Cinta
Fermo,Barba,Fondazione,Furto,Tensione,Palo
Mantagna,Tiro,Sera,Spirito,Festa,Campanile
Oro,Scrivere,Domani,Nato,Latte,Gallina
Stomaco,Montagna,Orologio,Vetro,Nuda,Parete
Fermo,Barba,Fondazione,Furto,Tensione,Palo
Giovani,Goal,Orologio,Lavoro,Amore,Manuale
Verde,Nave,Gioco,Pomodoro,Collo,Bottiglia
Freccia,Dramma,Conti,Elemento,Giornale,Radio
Tango,Testa,Pavone,Verne,Oro,Pallone
Lotteria,Ragazze,A,Telefilm,Fuori,Serie
Ritmo,Centro,Uovo,Tempo,Orlo,Pieno
Capo,Pistola,Benzina,Sicurezza,Botte,Spillo
Camera,Cervo,Lago,Vita,Corallo,Ramo
Spirito,Alcool,Naso,Bocca,Terra,Patata
Visita,Buio,Cascata,Gioia,Lungo,Salto
Corona,Montagna,Cardinale,Leone,Fame,Dente
Figlio,Secondo,Florida,Noce,Debole,Carne
Allegria,Ufficiale,Suono,Bene,Prendere,Nota
Lana,Palla,Diamante,Arte,Onu,Vetro
Caldo,Fischio,Giacca,Via,Parlare,Vento
Bianco,Cina,Lungo,Fifa,Dente,Spaghetto
Uomo,Naturale,Fiori,Secondo,Vento,Figlio
