word1,word2,word3,word4,word5,solution
TORTA,SAN PIETRO,PATTY PRAVO,CIELO,DESTINAZIONE,PARADISO
GOMMA,QUOTIDIANO,DENTI,ALBERO,CASSETTA,PANE
REMO,FORNAIO,ALTARE,FICO D'INDIA,ELICA,PALA
G,MEZZO,POLPO,BISMARCK,VOLANTE,OTTO
FRUMENTO,ROTONDA,NEL LAZIO,SOTTILE,COMUNIONE,OSTIA
VENEZUELA,SERRA,VANIGLIA,NERO WOLFE,SELVAGGIA,ORCHIDEA
MIELE,BJORN BORG,BERLINO,PELLE,SOLITARIO,ORSO
VITE,POKER,PASSAGGIO,PARI,VANGELO,PASSO
SACCO,BULBO,ACQUA,PER POCO,UOVO,PELO
GRIGIO,BAGNO,PEPè,MADRE,MARIANNA,PERLA
FIGLIO,TRONCO,FUORI,SCUDETTO,CARDINALE,PETTO
PAOLA,CAVALLO,CANZONE,TOCCO,TOPLESS,PEZZO
STRADA,IGLESIAS,SPUGNA,JOLLY ROGER,RHUM,PIRATA
ORCO,PRATO,FETONTE,652,DELTA,PO
PRIMO,TV,VERSO,VERDE,AUTOSTOP,POLLICE
STRETTO,VACANZA,COPERTA,BANDIERA BIANCA,PONENTE,PONTE
GIOCO,ROSARIO,MESSA,TOM HANKS,STALLA,POSTA
VIVALDI,LETTO CALDO,VOTO,CAMPAGNA,TERENCE HILL,PRETE
NOVE,BOMBA,CAMERINO,"UNO, DUE, TRE",CUOCO,PROVA
BIANCO,CROCE,CARDINALE,0-0,VISTA,PUNTO
FARE,BOXE,MONOPOLI,METRO,4 PER 4,QUADRATO
QUINDICI,ANULARE,LUNA,MILLE,LA STAMPA,QUARTO
DENTE,GIGI,CAROTA,QUADRATA,ORIGINE,RADICE
DARE,PAGARE,ONESTA,VIA,DUE PUNTI,RETTA
GIRO,PATENTE,DESERTO,PANTERA,CONFETTO,ROSA
SUPERMAN,ZOLFO,SANTO,LISCA,SVEZIA,S
MILANO,TERMOMETRO,40,LIBRETTO,MERCALLI,SCALA
FIORENTINA,FINE,DUE,TOTO CUTUGNO,GETTA LA SPUGNA,SECONDO
EDIPO,MISTERIOSA,SENZA NASO,LEONE,CHEFREN,SFINGE
MEZZANOTTE,ALUNNI,RE,UNICHE,MIO,SOLE
PESCE,BIANCA,OSCAR,CAPPA,PERISCE,SPADA
ACQUA,PORTA,ARGENTO,PULITO,PIù BELLA,SPECCHIO
ALPI,DALLA,RAZZO,AVANZATO,CORO,STADIO
ITALIA,STEMMA INTER,NATALE,ASTERISCO,SECONDA A DESTRA,STELLA
TIGRE,FUMETTO,PEDONE,STELLE,TAGLIATELLE,STRISCE
VERDE,INDAGINE,MANDATO,BATTI,VOLANTE,TAPPETO
GALANTUOMO,MELE,VALZER,AMMAZZARE,LUPI,TEMPO
11,ORCHESTRA,ATLANTICO,...---...,DION,TITANIC
COLPO DI TESTA,GIOCO,PASSERO SOLITARIO,MASCHIO,CONTROLLO,TORRE
PISTONE,ROSSO,MARINA,PARTIRE,GRAMMOFONO,TROMBA
MATITA,MESTIERE,NON SI VEDE,SALA,MAGO,TRUCCO
DENTIFRICIO,PANTALONI,TV,CILINDRO,NON CAPIRE,TUBO
MOLLA,COMPLETO,GAS,MASSIMO,QUI,TUTTO
OGGI,DISCESA,ROSSO,PIENO,COLOMBO,UOVO
SEMPRE,AUTOSTRADA,RAI TRE,IRLANDA,DOLLARO,VERDE
ROCCE,BIANCO,FORESTA,MARIA,LANA,VERGINE
PIO,MEDAGLIA,PAGO,DIREZIONE,POESIA,VERSO
ARCO,QUARESIMA,VALENTINO,PENSIERO,FIORENTINA,VIOLA
DESERTO,STOMACO,ASSEGNO,SOTTO,PERDERE,VUOTO
PAVONE,MORSO,STAGNANTE,JURASSIC PARK,TIGRE,ZANZARA
ADULTO,CASSANO A ROMA,4 NOVEMBRE,VIETATO,GOLF,18
DOTTORE,DISCO,TRENTO,CLASSE 1973,GESù,33
AUSTRIA,PRIMA,ASSO,CERCASI,AUTOSTRADA,A
LIBANO,VELA,GLI ANTENATI,BELLO,NATALE,ALBERO
AZZURRO,MAGRO,CARLA BISSI,DE GREGORI,MERAVIGLIE,ALICE
VIOLA,TEMPORALE,TIRARE,GIOVANNA,RAMPANTE,ARCO
SECONDO,PELLICOLA,MERCURIO,PESCIOLINO,DARIO,ARGENTO
ACQUARIO,FRITTA,CAMERA,VUOTO,CASTELLI,ARIA
CIELO,DOMANDA,PARAGUAY,CONTRATTO,TRONO,ASSUNZIONE
PETROLIO,LAGO,BUA,ANCHE,BUONANOTTE,BACINO
ARBORE,GOL,FRATELLI,BATTERIE,ALFIERE,BANDIERA
MEDIOEVO,VOLARE,GRAVE,COLPO,PAUL NEI BEATLES,BASSO
PENTOLE,100 M,POLLI,SOLARE,RINGO STARR,BATTERIA
TERRA,CARATTERE,ARRESTO,VINTA,SPALLA,BATTUTA
CAPRA,TARTARUGA,CHIUDERE,OCA,TRADITO,BECCO
ANDARE,MOBY DICK,SCEICCO,COLLETTO,DI PUNTO,BIANCO
